,Nick,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Sum of snapshot points
196,Gran Jie,15,0,0,0,0,15
197,Isonomy,15,0,0,0,0,15
198,Mefsu,0,0,7,8,0,15
199,Gott ll,15,0,0,0,0,15
200,DarkMagician,15,0,0,0,0,15
201,andre nf,15,0,0,0,0,15
202,AmorSorrisoFlor,15,0,0,0,0,15
203,TMT D Baji,0,0,7,8,0,15
204,LeS livinda,0,0,7,8,0,15
205,FOUR Jinnai,0,0,7,8,0,15
206,Greafen,0,6,0,0,9,15
207,Davvi AC,15,0,0,0,0,15
208,Botrytao,5,0,0,0,9,14
209,ddu,0,6,0,8,0,14
210,Bargaz,5,0,0,8,0,13
211,4crazy,0,6,7,0,0,13
212,xXSTORM BREAKER,5,0,7,0,0,12
213,mestre nilo,5,0,7,0,0,12
214,Invidious,5,6,0,0,0,11
215,SunTous,5,6,0,0,0,11
216,NFU Malvadao,0,0,0,8,0,8
217,UmR4ndomQLQR,0,0,0,8,0,8
218,Tio Thur,0,0,0,8,0,8
219,sono profundo,0,0,0,8,0,8
220,server dif,0,0,0,8,0,8
221,Schimit,0,0,0,8,0,8
222,PLaaT,0,0,0,8,0,8
223,NORVAK,0,0,0,8,0,8
224,NFU LucasVz,0,0,0,8,0,8
225,Cauezoca,0,0,0,8,0,8
226,kishimaT,0,0,0,8,0,8
227,KDA sir blackp,0,0,0,8,0,8
228,jkhlf,0,0,0,8,0,8
229,InfamaO,0,0,0,8,0,8
230,Frei Careca,0,0,0,8,0,8
231,FOUR SaintOz,0,0,0,8,0,8
232,� o Cabeça,0,0,0,8,0,8
233,BonzinhoNunkMais,0,0,0,8,0,8
234,Bo En My Time,0,0,0,8,0,8
235,iTriverr,0,0,7,0,0,7
236,Rosseto,0,0,7,0,0,7
237,Qwon,0,0,7,0,0,7
238,Ueckar,0,0,7,0,0,7
239,Good Vibrations,0,0,7,0,0,7
240,Absolun,0,0,7,0,0,7
241,BEE Jammalz,0,0,7,0,0,7
242,King Jong Tr�s,0,6,0,0,0,6
243,CRIMINOUSER,0,6,0,0,0,6
244,todorokí,0,6,0,0,0,6
245,Tgrande,0,6,0,0,0,6
246,TFT Andreeker,0,6,0,0,0,6
247,OusadoRJ,0,6,0,0,0,6
248,Novoselic,0,6,0,0,0,6
249,me vê 7 pães,0,6,0,0,0,6
250,Tanjiro Kamadoy,0,6,0,0,0,6
251,Iucio,0,6,0,0,0,6
252,EVA Asuka Soryu,0,6,0,0,0,6
253,I KARAMAZOV,0,6,0,0,0,6
254,Capuccini,0,6,0,0,0,6
255,Enderfish,0,6,0,0,0,6
256,Cabelo,0,6,0,0,0,6
257,GFirpo91,0,6,0,0,0,6
258,GSCFLN,0,6,0,0,0,6
259,HawkEyeCs7,0,6,0,0,0,6
260,MAIN ZeCksS,5,0,0,0,0,5
261,Yuzuki Choco,5,0,0,0,0,5
262,Yasz,5,0,0,0,0,5
263,tremor123,5,0,0,0,0,5
264,PHonda,5,0,0,0,0,5
265,PauIa Vadinho,5,0,0,0,0,5
266,Park Ro Jin,5,0,0,0,0,5
267,O z H,5,0,0,0,0,5
268,NPC,5,0,0,0,0,5
269,MrCarvalho,5,0,0,0,0,5
270,MARX ERA ANCAP,5,0,0,0,0,5
271,ATZX,5,0,0,0,0,5
272,MaaTzin,5,0,0,0,0,5
273,KKKKaue,5,0,0,0,0,5
274,Joe Fury,5,0,0,0,0,5
275,HESOYAM1,5,0,0,0,0,5
276,gziiN,5,0,0,0,0,5
277,GeloXimira,5,0,0,0,0,5
278,favriel1,5,0,0,0,0,5
279,Coteyo,5,0,0,0,0,5
280,Baskarazz,5,0,0,0,0,5
281,AKA Golfinho,5,0,0,0,0,5
282,Viciado,5,0,0,0,0,5
