,Nick,Cycle 1,Cycle 2,Cycle 3,Cycle 4,Cycle 5,Sum of snapshot points
122,KDA Bizola,0,6,7,20,0,33
123,Steps Days,0,6,19,8,0,33
124,Chawa,5,6,0,0,22,33
125,Son Hye Jo0,15,17,0,0,0,32
126,JPLME10,0,6,7,8,9,30
127,Adolfo333,0,0,0,8,22,30
128,anuib,0,0,0,8,22,30
129,BonzinhoNunkMais,0,0,0,8,22,30
130,KDA sir blackp,0,0,0,8,22,30
131,MJN Suasion,0,0,0,8,22,30
132,AtHoM44,0,0,7,0,22,29
133,Espada De Miguel,0,0,7,0,22,29
134,Faret,0,0,7,0,22,29
135,TiySatomie,15,6,7,0,0,28
136,Hussardo Alado,0,6,0,0,22,28
137,ChavaChavaChava,0,0,7,20,0,27
138,Graves Foragido,0,0,19,8,0,27
139,Guzzão,0,0,7,20,0,27
140,SrRipper,0,0,7,20,0,27
141,gainetera,5,0,0,0,22,27
142,Pequeno Golfo,5,0,0,0,22,27
143,garridoo,0,6,0,20,0,26
144,blanka21,5,0,0,20,0,25
145,Cool Guy0,25,0,0,0,0,25
146,dedinho do lula,5,0,0,20,0,25
147,Gzaga,0,6,19,0,0,25
148,paivä,0,6,19,0,0,25
149,Bom em nada Igor,0,17,7,0,0,24
150,Pri Kitta,0,17,7,0,0,24
151,Yvissaur,0,17,7,0,0,24
152,A C O R D A R,15,0,0,0,9,24
153,LeS livinda,0,0,7,8,9,24
154,Arckie,5,17,0,0,0,22
155,hopperion,15,0,7,0,0,22
156,MegaJonga,5,17,0,0,0,22
157,NFU Pazzini,15,0,7,0,0,22
158,LeS kkamikz,0,0,0,0,22,22
159,MAIN SamucaTFT,0,0,0,0,22,22
160,MattH zzZ,0,0,0,0,22,22
161,Pdmzïn,0,0,0,0,22,22
162,TFx Rasta,0,0,0,0,22,22
163,ThangChivass,0,0,0,0,22,22
164,WFX Padadeko,0,0,0,0,22,22
165,Wiz kaihou,0,0,0,0,22,22
166,xandeeea,0,0,0,0,22,22
167,XmalD,0,0,0,0,22,22
168,Anlonio,15,6,0,0,0,21
169,l Akeshi l,15,6,0,0,0,21
170,BlackenedLlys,0,0,0,20,0,20
171,BORGAOO,0,0,0,20,0,20
172,DragonzKilla,0,0,0,20,0,20
173,TFThiag0,0,0,0,20,0,20
174,Alkmena,0,0,19,0,0,19
175,Andreeker,0,0,19,0,0,19
176,bujsnuflr,0,0,19,0,0,19
177,RaafaaelG,0,0,19,0,0,19
178,xXChaosunXx,0,0,19,0,0,19
179,DeBitous,5,6,7,0,0,18
180,Puke and Cry,5,6,7,0,0,18
181,Borriss,0,17,0,0,0,17
182,Leo3l,0,17,0,0,0,17
183,me vê 4 pães,0,17,0,0,0,17
184,nojiris,0,17,0,0,0,17
185,Shinja,0,17,0,0,0,17
186,Shinkki,0,17,0,0,0,17
187,ThiaGoku,0,17,0,0,0,17
188,xFlashy Flash,0,17,0,0,0,17
189,xiao dian dian k,0,17,0,0,0,17
190,EMS Leon,0,0,0,8,9,17
191,FOUR SaintOz,0,0,0,8,9,17
192,TFx Ufal,0,0,0,8,9,17
193,Tio Thur,0,0,0,8,9,17
194,AmorSorrisoFlor,15,0,0,0,0,15
195,andre nf,15,0,0,0,0,15
196,DarkMagician,15,0,0,0,0,15
197,Davvi AC,15,0,0,0,0,15
198,FOUR Jinnai,0,0,7,8,0,15
199,Gott ll,15,0,0,0,0,15
200,Gran Jie,15,0,0,0,0,15
201,ILM Eng1Near,0,0,7,8,0,15
202,Irelia do Arthur,0,0,7,8,0,15
203,Isonomy,15,0,0,0,0,15
204,IuIiz,15,0,0,0,0,15
205,Joell,15,0,0,0,0,15
206,kamikzz,15,0,0,0,0,15
207,KrashS,0,0,7,8,0,15
208,LeuzZoka,15,0,0,0,0,15
209,Mefsu,0,0,7,8,0,15
210,NiNooce,15,0,0,0,0,15
211,proenca z1k4,15,0,0,0,0,15
212,Summer578,15,0,0,0,0,15
213,TMT D Baji,0,0,7,8,0,15
214,Viciado em Café,15,0,0,0,0,15
215,VlOLE,15,0,0,0,0,15
216,Greafen,0,6,0,0,9,15
217,I KARAMAZOV,0,6,0,0,9,15
218,ddu,0,6,0,8,0,14
219,MAIN ZeCksS,5,0,0,0,9,14
220,4crazy,0,6,7,0,0,13
221,Bargaz,5,0,0,8,0,13
222,mestre nilo,5,0,7,0,0,12
223,xXSTORM BREAKER,5,0,7,0,0,12
224,Invidious,5,6,0,0,0,11
225,SunTous,5,6,0,0,0,11
226,Akromas,0,0,0,0,9,9
227,Ancestral TFT,0,0,0,0,9,9
228,Anyfin,0,0,0,0,9,9
229,BEE Steezy,0,0,0,0,9,9
230,betorino,0,0,0,0,9,9
231,BixoleTTi,0,0,0,0,9,9
232,blackbiee,0,0,0,0,9,9
233,CPV JotaR777,0,0,0,0,9,9
234,FeFiToKiller,0,0,0,0,9,9
235,Folpos,0,0,0,0,9,9
236,Fugaze,0,0,0,0,9,9
237,Galactus 71,0,0,0,0,9,9
238,GerenteDaPescão,0,0,0,0,9,9
239,Höp,0,0,0,0,9,9
240,Jerry Cantrell,0,0,0,0,9,9
241,Kumä,0,0,0,0,9,9
242,lacroix90,0,0,0,0,9,9
243,Lauren Jauregui,0,0,0,0,9,9
244,LeS Ocirep12,0,0,0,0,9,9
245,LeS Padawan,0,0,0,0,9,9
246,LeS Zeppelinhu2,0,0,0,0,9,9
247,ll Sneaky ll,0,0,0,0,9,9
248,Lord Rollo,0,0,0,0,9,9
249,mathejive,0,0,0,0,9,9
250,MJN Majorana,0,0,0,0,9,9
251,Mr Who,0,0,0,0,9,9
252,MrRubens,0,0,0,0,9,9
253,O Abadonn,0,0,0,0,9,9
254,Piotasso,0,0,0,0,9,9
255,pjrivan,0,0,0,0,9,9
256,punido por amar,0,0,0,0,9,9
257,Ralmico,0,0,0,0,9,9
258,Rayelzada,0,0,0,0,9,9
259,RoronoaVinny,0,0,0,0,9,9
260,T Baag,0,0,0,0,9,9
261,TFT Leibnitz,0,0,0,0,9,9
262,TFx Metalfoes,0,0,0,0,9,9
263,Worst player1,0,0,0,0,9,9
264,you yoda men,0,0,0,0,9,9
265,Alex NinjaBr,0,0,0,8,0,8
266,Bo En My Time,0,0,0,8,0,8
267,Cauezoca,0,0,0,8,0,8
268,DOG Ryok,0,0,0,8,0,8
269,É o Cabeça,0,0,0,8,0,8
270,EMS glass1,0,0,0,8,0,8
271,InfamaO,0,0,0,8,0,8
272,jkhlf,0,0,0,8,0,8
273,kishimaT,0,0,0,8,0,8
274,NFU Malvadao,0,0,0,8,0,8
275,NORVAK,0,0,0,8,0,8
276,o brasil qr mais,0,0,0,8,0,8
277,PLaaT,0,0,0,8,0,8
278,RPS LucasVz,0,0,0,8,0,8
279,Schimit,0,0,0,8,0,8
280,server dif,0,0,0,8,0,8
281,sono profundo,0,0,0,8,0,8
282,UmR4ndomQLQR,0,0,0,8,0,8
283,Frei Careca,0,0,0,8,0,8
284,Absolun,0,0,7,0,0,7
285,BEE Jammalz,0,0,7,0,0,7
286,Good Vibrations,0,0,7,0,0,7
287,iTriverr,0,0,7,0,0,7
288,Qwon,0,0,7,0,0,7
289,Rosseto,0,0,7,0,0,7
290,Ueckar,0,0,7,0,0,7
291,Cabelo,0,6,0,0,0,6
292,Capuccini,0,6,0,0,0,6
293,CRIMINOUSER,0,6,0,0,0,6
294,Enderfish,0,6,0,0,0,6
295,EVA Asuka Soryu,0,6,0,0,0,6
296,GFirpo91,0,6,0,0,0,6
297,GSCFLN,0,6,0,0,0,6
298,HawkEyeCs7,0,6,0,0,0,6
299,Iucio,0,6,0,0,0,6
300,King Jong Três,0,6,0,0,0,6
301,me vê 7 pães,0,6,0,0,0,6
302,OusadoRJ,0,6,0,0,0,6
303,Tanjiro Kamadoy,0,6,0,0,0,6
304,TFT Andreeker,0,6,0,0,0,6
305,Tgrande,0,6,0,0,0,6
306,Thayná TFT,0,6,0,0,0,6
307,todorokí,0,6,0,0,0,6
308,Novoselic,0,6,0,0,0,6
309,ATZX,5,0,0,0,0,5
310,Baskarazz,5,0,0,0,0,5
311,Botrytao,5,0,0,0,0,5
312,Coteyo,5,0,0,0,0,5
313,favriel1,5,0,0,0,0,5
314,GeloXimira,5,0,0,0,0,5
315,gziiN,5,0,0,0,0,5
316,HESOYAM1,5,0,0,0,0,5
317,Joe Fury,5,0,0,0,0,5
318,KKKKaue,5,0,0,0,0,5
319,LeS Thayná,5,0,0,0,0,5
320,MaaTzin,5,0,0,0,0,5
321,MARX ERA ANCAP,5,0,0,0,0,5
322,MrCarvalho,5,0,0,0,0,5
323,NPC,5,0,0,0,0,5
324,O z H,5,0,0,0,0,5
325,Pàla,5,0,0,0,0,5
326,Park Ro Jin,5,0,0,0,0,5
327,PauIa Vadinho,5,0,0,0,0,5
328,PHonda,5,0,0,0,0,5
329,tremor123,5,0,0,0,0,5
330,Viciado,5,0,0,0,0,5
331,Yuzuki Choco,5,0,0,0,0,5
332,Yasz,5,0,0,0,0,5
